h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
4637.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  66.5445;   0.0000;   0.0000;   0.0000;   0.0000;   4.4647;   0.0000;  29.6190
4638.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  70.5158;   0.0000;   0.0000;   0.0000;   0.0000;   3.5367;   0.0000;  28.6910
4639.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  74.4872;   0.0000;   0.0000;   0.0000;   0.0000;   8.4545;   1.8584;  31.7504
4640.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  74.4872;   0.0000;   0.0000;   0.0000;   0.0000;  13.6803;   7.0503;  31.5800
4641.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  78.4586;   0.0000;   0.0000;   0.0000;   0.0000;  15.8782;  10.4094;  30.6231
4642.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  82.4299;   0.0000;   0.0000;   0.0000;   0.0000;  14.8022;   9.3334;  30.6231
4643.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  86.4013;   0.0000;   0.0000;   0.0000;   0.0000;  12.4990;   7.9763;  29.6770
4644.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  86.4013;   0.0000;   0.0000;   0.0000;   0.0000;  11.8517;   7.7337;  29.0680
4645.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  90.3726;   0.0000;   0.0000;   0.0000;   0.0000;   9.7118;   6.1788;  28.6874
4646.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  94.3440;   0.0000;   0.0000;   0.0000;   0.0000;   9.9898;   7.7074;  27.4368
4647.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  98.3153;   0.0000;   0.0000;   0.0000;   0.0000;   7.3394;   6.4489;  26.0448
4648.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  98.3153;   0.0000;   0.0000;   0.0000;   0.0000;   7.4310;   6.3398;  26.0412
4649.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 102.2867;   0.0000;   0.0000;   0.0000;   0.0000;   5.0299;   4.5127;  25.6715
4650.0000;  24.3497; 487.9709; 500.0000;   0.0000;  12.0291;  89.8856;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.3892;  23.9605
4651.0000;  24.8124; 497.2419; 500.0000;   0.0000;   2.7581;  87.0422;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  24.8124
4652.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  91.0135;   0.0000;   0.0000;   0.0000;   0.0000;   3.3990;   0.0000;  28.5533
4653.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  91.0135;   0.0000;   0.0000;   0.0000;   0.0000;   5.5969;   0.0000;  30.5469
4654.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  94.9849;   0.0000;   0.0000;   0.0000;   0.0000;   7.0166;   0.0000;  32.1709
4655.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  98.9563;   0.0000;   0.0000;   0.0000;   0.0000;   7.5893;   0.0000;  32.7436
4656.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  98.9563;   0.0000;   0.0000;   0.0000;   0.0000;   8.0111;   0.0000;  32.9611
4657.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 102.9276;   0.0000;   0.0000;   0.0000;   0.0000;   7.5929;   0.0000;  32.7472
4658.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 106.8990;   0.0000;   0.0000;   0.0000;   0.0000;   7.7742;   0.0000;  32.9285
4659.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 106.8990;   0.0000;   0.0000;   0.0000;   0.0000;   7.0251;   0.0000;  31.9751
4660.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 110.8703;   0.0000;   0.0000;   0.0000;   0.0000;   7.5204;   0.0000;  32.6747
4661.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 114.8417;   0.0000;   0.0000;   0.0000;   0.0000;   6.7447;   0.0000;  31.8990
4662.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 114.8417;   0.0000;   0.0000;   0.0000;   0.0000;   6.1842;   0.0000;  31.1342
4663.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 114.8417;   0.0000;   0.0000;   0.0000;   0.0000;   7.8752;   1.3068;  31.5184
4664.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 118.8130;   0.0000;   0.0000;   0.0000;   0.0000;  12.6033;   7.3086;  30.4491
4665.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 122.7844;   0.0000;   0.0000;   0.0000;   0.0000;  13.3376;   6.9699;  31.5220
4666.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 126.7557;   0.0000;   0.0000;   0.0000;   0.0000;  14.8303;   7.5925;  32.3920
4667.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 126.7557;   0.0000;   0.0000;   0.0000;   0.0000;  14.4607;   7.0332;  32.3775
4668.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 130.7271;   0.0000;   0.0000;   0.0000;   0.0000;  14.6502;   7.4632;  32.3413
4669.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 134.6985;   0.0000;   0.0000;   0.0000;   0.0000;  14.6641;   7.4808;  32.3376
4670.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 138.6698;   0.0000;   0.0000;   0.0000;   0.0000;  12.7556;   6.9171;  30.9928
4671.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000; 138.6698;   0.0000;   0.0000;   0.0000;   0.0000;  10.1474;   5.2826;  29.8147
4672.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 142.6412;   0.0000;   0.0000;   0.0000;   0.0000;   9.9805;   6.8825;  28.2524
4673.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 146.6125;   0.0000;   0.0000;   0.0000;   0.0000;   7.5548;   4.5256;  28.1835
