h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main;PPV_subproblem_main;PWT_subproblem_main ;Balance P ;Balance H2
24;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;258.7327;0;1380.8148;0;0
25;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;254.9205;0;1377.0026;0;0
26;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;244.127;0;1366.2091;0;0
27;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;249.5869;0;1371.669;0;0
28;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;247.1188;0;1369.2009;0;0
29;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;165.9026;0;1287.9848;1.00E-04;0
30;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;131.696;1.5936;1252.1845;0;0
31;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;138.751;2.9394;1257.8937;0;0
32;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;163.8842;82.2155;1203.7509;1.00E-04;0
33;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;191.664;184.4333;1129.3128;0;0
34;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;246.9934;210.8571;1158.2184;0;0
35;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;264.0805;243.4377;1142.7249;0;0
36;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;146.0321;272.5686;995.5457;1.00E-04;0
37;1120;20000;20000;0;0;829.5018;0;0;0;32.1323;0;276.4459;811.4218;0;0
38;1120;20000;20000;0;0;829.5018;0;0;0;178.7775;0;276.2569;664.9655;-1.00E-04;0
39;1120;20000;20000;0;0;829.5018;0;0;0;277.1522;0;258.0886;584.7593;1.00E-04;0
40;1120;20000;20000;0;0;829.5018;0;0;0;279.2442;0;226.3439;614.412;1.00E-04;0
41;1120;20000;20000;0;0;829.5018;0;0;0;301.3071;0;192.2824;626.4105;0;0
42;1120;20000;20000;0;0;829.5018;0;0;0;229.6835;0;139.6796;750.6369;0;0
43;1120;20000;20000;0;0;829.5018;0;0;0;307.2798;0;0;812.7202;0;0
44;1120;20000;20000;0;0;829.5018;0;0;0;245.5992;0;0;874.4008;0;0
45;1088.6549;19440.2666;20000;0;559.7334;252.4571;0;0;0;12.7419;0;0;1075.913;0;1.02E-12
46;1122.0821;20000;20000;37.1807;0;288.5224;0;0;0;0;69.539;0;1191.6211;0;0
47;1122.0821;20000;20000;37.1807;0;324.5877;0;0;0;0;191.8664;0;1313.9485;0;0
48;1122.0821;20000;20000;37.1807;0;360.653;0;0;0;0;197.9185;0;1320.0007;1.00E-04;0
49;1122.0821;20000;20000;37.1807;0;396.7183;0;0;0;0;212.6721;0;1334.7542;0;0
50;1122.0821;20000;20000;37.1807;0;432.7835;0;0;0;0;228.8698;0;1350.952;1.00E-04;0
51;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;223.7688;0;1345.8509;0;0
52;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;219.2334;0;1341.3156;1.00E-04;0
